parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
1910,Gustavo de Sousa Duarte,PPD/PSD,Guarda,,,,
5490,Helga Alexandra Freire Correia,PPD/PSD,Aveiro,Helga_Correia,helga.correia.92,HelgaCorreia2,helga.a.correia
6542,Hugo Daniel Alves Martins de Carvalho,PPD/PSD,Viseu,Hugo_Martins_de_Carvalho,hugoamcarvalho,hdamcarvalho,hugoamcarvalho
,Hugo João Ribeiro Maravilha,PPD/PSD,Viseu,,,,
,Hugo Miguel Sousa Carneiro,PPD/PSD,Porto,Hugo_Carneiro,HMCarneiro,hmscarneiro,
6857,Hugo Patrício Martinho de Oliveira,PPD/PSD,Leiria,Hugo_Patrício_Oliveira,,,
,Isabel Maria Meireles,PPD/PSD,Lisboa,Isabel_Meireles,Isabel-Meirelles-122889366182,,meirelles.isabel
,Isaura Maria Crisóstomo Bernardino Morais,PPD/PSD,Santarém,Isaura_Morais,Isaura-Morais-95563280987,isauramorais5,isauracmorais
4436,Joana Catarina Barata Reis Lopes,PPD/PSD,Lisboa,,joana.b.lopes.3,,
,Joaquim José Miranda Sarmento,PPD/PSD,Lisboa,,,jmirandsarmento,
,Joaquim José Pinto Moreira,PPD/PSD,Porto,,,,
,Jorge Manuel Salgueiro Mendes,PPD/PSD,Viana do Castelo,Jorge_Salgueiro_Mendes,jorgesalgueiro.mendes,,
2665,Jorge Paulo da Silva Oliveira,PPD/PSD,Braga,Jorge_Paulo_Oliveira,Jorge-Paulo-Oliveira-161507904014114,JorgePauloOliv2,
271,José Maria Lopes Silvano,PPD/PSD,Lisboa,José_Silvano,jose.silvano.7370,silvano49495907,
,João Carlos Araújo Rêgo Montenegro,PPD/PSD,Viana do Castelo,,,,
1529,João Manuel Gomes Marques,PPD/PSD,Leiria,João_Gomes_Marques,,,
1706,João Manuel Moura Rodrigues,PPD/PSD,Santarém,João_Moura_(político),JoaoMouraDeputadoPSD,,
,João Paulo Lima Barbosa de Melo,PPD/PSD,Coimbra,,,,
5759,Lina Maria Cardoso Lopes,PPD/PSD,Lisboa,Lina_Lopes,lina.lopes.58323,,
1907,Luís Filipe Soromenho Gomes,PPD/PSD,Faro,,,,
4299,Maria Clara Gonçalves Marques Mendes,PPD/PSD,Braga,Clara_Marques_Mendes,clara.marquesmendes,,
